English;Russian

All;All;Все;;;; 
Story;Story;Сюжетные;;;;
Daily;Daily;Ежедневные;;;;
Guild;Guild;Гильдия;;;;

ShowQuestLog;Show Quest Log;Журнал заданий;;;;
Achievement;Achievement;Достижения;;;;

Quests On Npc;Quests On Npc;Задания от Нпс;;;;
Accepted quests;Accepted quests;Принятые задания;;;;
Complete;Complete;Завершить;;;;
Gather;Gather;Принести;;;;


Find Glock;Glock;Глок 17;;;;
Find Nails;Find Nails;Принести Гвозди;;;;
Find Lt. Jennifer Hawkins;Find Lt. Jennifer Hawkins;Поиск Дженифер Хоукинс;;;;
KillToxicPitBoss;KillToxicPitBoss;Убить Главаря в радиактивной зоне;;;;

Build Quarry;Build Quarry;Строительтво каменоломни;;;;
Collect Dollars;Collect Dollars;Экономист;;;;
Minning;Minning;Добыча ресурсов;;;;
ImportantResources;Important Resources;Важные ресурсы для жизни;;;;
Name for your town;Give your town a name;Дайте название вашему городу;;;;

